Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.73
Cabeza puntual retorno,Cu 324.75,0.739
Celda #(F1+F2),Cu 324.75,0.663
Puntual Noroeste,Cu 324.75,0.846
Tubo 3,Cu 324.75,0.068
NE Tubo 2,Cu 324.75,0.037
NE Tubo 4,Cu 324.75,1.138
Especial 1,Cu 324.75,0.114
Especial 2,Cu 324.75,0.648
Especial 3,Cu 324.75,0.063
Especial 4,Cu 324.75,0.044
Especial 5,Cu 324.75,2.138
Barren,Cu 324.75,0.738
Barren Patios,Cu 324.75,0.655
NE Tubo 1,Cu 324.75,0.05
NE Tubo 5,Cu 324.75,0.648
NE Tubo 6,Cu 324.75,1.356
NE Tubo 7,Cu 324.75,1.759
Celda # 11-A,Cu 324.75,0.046
Celda # 11-B,Cu 324.75,0.02
Celda # 11-C,Cu 324.75,2.659
Celda # 6-F2,Cu 324.75,0.047
Celda #5-9,Cu 324.75,4.988
