Analyst,Judas Orduño,,,,
Date Started,10/06/2023 12:45 AM  GMT: 10/6/2023 12:59 AM,,,,
Worksheet,LC000455_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,12:45:30 a.m.,PATRON,0.897,,mg/L
10/06/2023,12:46:00 a.m.,BLANCO,-0.009,,mg/L
10/06/2023,12:46:30 a.m.,REAGENT BLANK,-0.013,,mg/L
10/06/2023,12:47:00 a.m.,LC000455-001,0.0023,,mg/L
10/06/2023,12:47:30 a.m.,LC000455-002,0.0063,,mg/L
10/06/2023,12:48:00 a.m.,LC000455-003,0.0026,,mg/L
10/06/2023,12:48:30 a.m.,LC000455-004,0.0016,,mg/L
10/06/2023,12:49:00 a.m.,LC000455-005,0.0033,,mg/L
10/06/2023,12:49:30 a.m.,LC000455-006,0.0056,,mg/L
10/06/2023,12:50:00 a.m.,PATRON,0.907,,mg/L
10/06/2023,12:50:30 a.m.,LC000455-008,0.126,,mg/L
10/06/2023,12:51:00 a.m.,LC000455-009,0.0033,,mg/L
10/06/2023,12:51:30 a.m.,LC000455-010,0.0019,,mg/L
10/06/2023,12:52:00 a.m.,LC000455-011,0.0026,,mg/L
10/06/2023,12:52:30 a.m.,LC000455-012,0.0066,,mg/L
10/06/2023,12:53:00 a.m.,PATRON,0.9145,,mg/L
10/06/2023,12:53:30 a.m.,LC000455-013,0.0006,,mg/L
10/06/2023,12:54:00 a.m.,LC000455-014,0.0036,,mg/L
10/06/2023,12:54:30 a.m.,LC000455-015,0.0029,,mg/L
10/06/2023,12:55:00 a.m.,LC000455-016,0.0026,,mg/L
10/06/2023,12:55:30 a.m.,LC000455-017,0.0053,,mg/L
10/06/2023,12:56:00 a.m.,LC000455-018,0.0046,,mg/L
10/06/2023,12:56:30 a.m.,PATRON,0.895,,mg/L
10/06/2023,12:57:00 a.m.,LC000455-019,0.0089,,mg/L
10/06/2023,12:57:30 a.m.,LC000455-020,0.0093,,mg/L
10/06/2023,12:58:00 a.m.,LC000455-021,0.0096,,mg/L
10/06/2023,12:58:30 a.m.,LC000455-022,0.0086,,mg/L
10/06/2023,12:59:00 a.m.,LC000455-023,0.0076,,mg/L
10/06/2023,12:59:30 a.m.,LC000455-024,0.0076,,mg/L
10/06/2023,12:59:55 a.m.,PATRON,0.908,,mg/L
