Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.121
Comp. Cola Columna,Au 242.80,0.014
Barren,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.124
Celda # 11-A,Au 242.80,0.084
Celda # 11-B,Au 242.80,0.065
Celda # 11-C,Au 242.80,0.009
Celda #5-9,Au 242.80,0.021
Celda #(F1+F2),Au 242.80,0.135
NE Tubo 1,Au 242.80,0.01
NE Tubo 2,Au 242.80,0.145
NE Tubo 4,Au 242.80,0.086
NE Tubo 5,Au 242.80,0.075
NE Tubo 6,Au 242.80,0.139
NE Tubo 7,Au 242.80,0.049
Puntual Noroeste,Au 242.80,0.136
Barren Patios,Au 242.80,0.018
Tubo 3,Au 242.80,0.189
Especial 1,Au 242.80,0.021
Especial 2,Au 242.80,0.059
Especial 3,Au 242.80,0.089
Especial 4,Au 242.80,0.067
Especial 5,Au 242.80,0.051
Columna #1,Au 242.80,0.087
Columna #2,Au 242.80,0.062
Columna #3,Au 242.80,0.035
Columna #4,Au 242.80,0.02
Columna #5,Au 242.80,0.013
