"Analyst",""
"Date Started","4/13/2025 3:48 AM  GMT: 4/13/2025 10:48 AM"
"Worksheet","LC004220_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"4/13/2025","4:48:42 AM","PATRON",0.8861,"","mg/L",0.3
"4/13/2025","4:48:54 AM","BLANCO",0.0046,"","mg/L",">100"
"4/13/2025","4:49:18 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"4/13/2025","4:49:38 AM","LC004220-001","OVER","R","mg/L",0.0
"4/13/2025","4:50:06 AM","LC004220-002","OVER","R","mg/L",0.0
"4/13/2025","4:50:30 AM","LC004220-003",0.0059,"","mg/L",38.4
"4/13/2025","4:50:56 AM","LC004220-004",-0.0001,"","mg/L",">100"
"4/13/2025","4:51:12 AM","LC004220-005",0.0479,"","mg/L",1.9
"4/13/2025","4:53:00 AM","LC004220-006",0.0910,"","mg/L",63.2
"4/13/2025","4:54:20 AM","PATRON",0.8740,"","mg/L",0.5
"4/13/2025","4:54:34 AM","BLANCO",-0.0044,"","mg/L",66.6
"4/13/2025","4:54:44 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"4/13/2025","4:54:44 AM","","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"4/13/2025","4:58:26 AM","LC004220-001",3.4022,"","mg/L",8.3
"4/13/2025","4:58:34 AM","LC004220-002",3.1223,"","mg/L",1.9
"4/13/2025","4:58:34 AM","LC004155-010","","","mg/L",""
