Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.554
Comp. Cola Columna,Cu 324.75,1.549
Barren,Cu 324.75,1.626
Cabeza puntual retorno,Cu 324.75,1.683
Columna #1,Cu 324.75,1.461
Columna #2,Cu 324.75,1.496
Columna #3,Cu 324.75,1.521
Columna #4,Cu 324.75,1.555
Columna #5,Cu 324.75,1.582
Celda # 11-A,Cu 324.75,0.311
Celda # 11-B,Cu 324.75,0.123
Celda # 11-C,Cu 324.75,0.621
Celda #5-9,Cu 324.75,0.506
Celda #(F1+F2),Cu 324.75,1.667
NE Tubo 1,Cu 324.75,0.077
NE Tubo 2,Cu 324.75,0.267
NE Tubo 4,Cu 324.75,1.958
NE Tubo 5,Cu 324.75,0.215
NE Tubo 6,Cu 324.75,0.247
NE Tubo 7,Cu 324.75,1.293
Puntual Noroeste,Cu 324.75,1.822
Barren Patios,Cu 324.75,1.549
Tubo 3,Cu 324.75,3.701
Especial 1,Cu 324.75,0.103
Especial 2,Cu 324.75,0.087
Especial 3,Cu 324.75,0.468
Especial 4,Cu 324.75,0.646
Especial 5,Cu 324.75,0.115
