Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.389
Cabeza puntual retorno,Cu 324.75,1.436
Celda #(F1+F2),Cu 324.75,1.568
Puntual Noroeste,Cu 324.75,0.521
Tubo 3,Cu 324.75,0.185
Comp. Cola Columna,Cu 324.75,1.503
Barren,Cu 324.75,1.306
Celda # 11-A,Cu 324.75,0.162
Celda # 11-B,Cu 324.75,0.123
Celda # 11-C,Cu 324.75,0.279
Celda # 6-F2,Cu 324.75,6.869
Celda #5-9,Cu 324.75,0.174
NE Tubo 1,Cu 324.75,6.66
NE Tubo 2,Cu 324.75,0.692
NE Tubo 4,Cu 324.75,0.063
NE Tubo 5,Cu 324.75,0.029
NE Tubo 6,Cu 324.75,0.801
NE Tubo 7,Cu 324.75,0.1
Barren Patios,Cu 324.75,0.922
Especial 1,Cu 324.75,0.023
Especial 2,Cu 324.75,0.057
Especial 3,Cu 324.75,0.032
Especial 4,Cu 324.75,0.017
Especial 5,Cu 324.75,0.884
