Analyst,Elizandell,,,,
Date Started,13/06/2023,,,,
Worksheet,LC000483-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
13/06/2023,2:00 p.m.,PATRON,0.925,,mg/L
13/06/2023,2:00 p.m.,BLANCO,0.02,,mg/L
13/06/2023,2:00 p.m.,REAGENT BLANK,0.01,,mg/L
13/06/2023,2:00 p.m.,LC000477-004,2.532,,mg/L
13/06/2023,2:00 p.m.,LC000477-005,3.476,,mg/L
13/06/2023,2:00 p.m.,LC000477-006,1.273,,mg/L
13/06/2023,2:00 p.m.,LC000477-007,0.4469,,mg/L
13/06/2023,2:00 p.m.,LC000477-008,0.218,,mg/L
13/06/2023,2:00 p.m.,LC000477-009,0.102,,mg/L
13/06/2023,2:00 p.m.,LC000477-010,0.308,,mg/L
