Analista,JCAN,,,,,,,,,
Fecha de inicio,04/02/2023 10:50 a. m.  GMT: 04/02/2023 04:50 p. m.,,,,,,,,,
Hoja de trabajo,SA000243_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5067,,mg/L,2.8,0.0156,-0.0005,0.016,0.0156,0.0151
,BLANCO,0.0084,,mg/L,77.3,0.0003,-0.0003,0.0002,0.0001,0.0005
,BLANCO REACTIVO,0,,mg/L,29.7,-0.0004,0.0005,-0.0003,-0.0005,-0.0003
,SA000243-002,0.0578,,mg/L,7.3,0.0076,0.0012,0.0082,0.0073,0.0072
,SA000243-003,0.0704,,mg/L,3.5,0.0092,0.001,0.0095,0.0093,0.0089
,SA000243-004,0.0728,,mg/L,1,0.0095,0.0011,0.0097,0.0095,0.0095
,SA000243-005,0.0477,,mg/L,6.1,0.0062,0.0014,0.0066,0.0062,0.0059
,PATRON,0.5111,,mg/L,3.2,0.0157,0.0005,0.016,0.016,0.0151
,SA000243-006,0.0808,,mg/L,3.3,0.0106,0.0012,0.0103,0.0106,0.011
,SA000243-007,0.0598,,mg/L,3,0.0078,0.001,0.0078,0.0076,0.0081
,SA000243-008,0.4863,,mg/L,1.6,0.0665,0.001,0.0654,0.0675,0.0665
,SA000243-009,0.222,,mg/L,1.3,0.0296,0.0012,0.03,0.0294,0.0293
,SA000243-010,0.2598,,mg/L,1.4,0.0348,0.0013,0.0342,0.0351,0.035
,PATRON,0.5117,,mg/L,1.6,0.0157,0.0008,0.0157,0.016,0.0155
,BLANCO,-0.0136,,mg/L,11.8,-0.0004,0.0008,-0.0004,-0.0004,-0.0004
,BLANCO REACTIVO,0,,mg/L,16.8,-0.0009,0.0005,-0.001,-0.0007,-0.0009
,SA000243-011,0.7448,,mg/L,0.4,0.1038,0.0018,0.1034,0.1042,0.1039
,SA000243-012,1.3213,,mg/L,0.5,0.1866,0.0016,0.1871,0.1854,0.1871
,SA000243-013,0.2032,,mg/L,2.1,0.027,0.0015,0.0271,0.0264,0.0275
,SA000243-014,0.6213,,mg/L,0.7,0.086,0.0016,0.0861,0.0854,0.0866
,SA000243-015,5.4474,,mg/L,0.6,0.0749,0.0021,0.0752,0.0744,0.0752
,PATRON,0.5143,,mg/L,3.1,0.0158,0.001,0.0152,0.0161,0.0161
,SA000243-016,0.4417,,mg/L,0.7,0.0601,0.0017,0.06,0.0597,0.0605
,SA000243-017,0.4641,,mg/L,0.2,0.0633,0.0018,0.0635,0.0632,0.0634
,SA000243-018,0.1952,,mg/L,0.5,0.0259,0.0017,0.0261,0.0258,0.0259
,SA000243-019,0.2406,,mg/L,0.5,0.0322,0.0017,0.032,0.0323,0.0322
,SA000243-020,0.2063,,mg/L,1.6,0.0274,0.0019,0.027,0.0279,0.0274
,PATRON,0.5123,,mg/L,1,0.0157,0.0014,0.0155,0.0158,0.0158
,BLANCO,-0.0033,,mg/L,>100,-0.0001,0.0013,0,-0.0003,0
,BLANCO REACTIVO,0,,mg/L,29,-0.0011,0.0004,-0.0012,-0.0007,-0.0012
,SA000243-021,0.3536,,mg/L,1,0.0478,0.0022,0.0475,0.0475,0.0484
,SA000243-022,0.008,,mg/L,56.4,0.001,0.0019,0.0016,0.0005,0.001
,SA000243-023,1.0996,,mg/L,1.3,0.155,0.002,0.1528,0.1556,0.1567
,SA000243-024,0.0139,,mg/L,80.4,0.0018,0.0018,0.0035,0.001,0.0009
,SA000243-025,0.556,,mg/L,0.1,0.0765,0.002,0.0766,0.0765,0.0765
,PATRON,0.5181,,mg/L,1.8,0.0159,0.0014,0.0159,0.0156,0.0162
,SA000243-026,0.9663,,mg/L,0.1,0.1362,0.0023,0.136,0.1363,0.1362
,SA000243-027,0.2644,,mg/L,0.3,0.0354,0.0019,0.0353,0.0355,0.0354
,SA000243-028,0.4471,,mg/L,0.9,0.061,0.002,0.0604,0.0609,0.0615
,SA000243-029,1.0591,,mg/L,0.7,0.1495,0.0021,0.1493,0.1507,0.1485
,SA000243-030,0.2652,,mg/L,2.6,0.0356,0.0019,0.0366,0.0347,0.0354
,PATRON,0.5191,,mg/L,0.8,0.0159,0.0015,0.016,0.0158,0.016
,BLANCO,-0.005,,mg/L,>100,-0.0002,0.0016,0.0001,-0.0005,-0.0001
,BLANCO REACTIVO,0,,mg/L,10.7,-0.0014,0.0007,-0.0014,-0.0016,-0.0013
,SA000243-031,0.1299,,mg/L,1.4,0.017,0.0021,0.0168,0.0172,0.0171
,SA000243-032,0.4058,,mg/L,0.1,0.0553,0.0023,0.0554,0.0554,0.0552
,PATRON,0.5057,,mg/L,3.5,0.0155,0.0018,0.0159,0.0157,0.0149
