Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.143
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.006
Cabeza puntual retorno,Au 242.80,0.138
Celda # 11-A,Au 242.80,0.031
Celda # 11-B,Au 242.80,0.005
Celda # 11-C,Au 242.80,0.005
Celda #5-9,Au 242.80,0.097
Celda #(F1+F2),Au 242.80,0.157
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.081
NE Tubo 4,Au 242.80,0.084
NE Tubo 5,Au 242.80,0.234
NE Tubo 6,Au 242.80,0.128
NE Tubo 7,Au 242.80,0.296
Puntual Noroeste,Au 242.80,0.154
Tubo 3,Au 242.80,0.173
Especial 1,Au 242.80,0.036
Especial 2,Au 242.80,0.062
Especial 3,Au 242.80,0.041
Especial 4,Au 242.80,0.082
Especial 5,Au 242.80,0.087
Especial 6,Au 242.80,0.008
Columna #1,Au 242.80,0.097
Columna #2,Au 242.80,0.063
Columna #3,Au 242.80,0.036
Columna #4,Au 242.80,0.02
Columna #5,Au 242.80,0.002
