Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.093
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.015
Cabeza puntual retorno,Au 242.80,0.097
Celda # 11-A,Au 242.80,0.047
Celda # 11-B,Au 242.80,0.024
Celda # 11-C,Au 242.80,0.02
Celda #5-9,Au 242.80,0.046
Celda #(F1+F2),Au 242.80,0.089
NE Tubo 1,Au 242.80,0.007
NE Tubo 2,Au 242.80,0.069
NE Tubo 4,Au 242.80,0.056
NE Tubo 5,Au 242.80,0.027
NE Tubo 6,Au 242.80,0.027
NE Tubo 7,Au 242.80,0.062
Puntual Noroeste,Au 242.80,0.093
Barren Patios,Au 242.80,0.014
Tubo 3,Au 242.80,0.144
Especial 1,Au 242.80,0.099
Especial 2,Au 242.80,0.108
Especial 3,Au 242.80,0.008
Especial 4,Au 242.80,0.008
Especial 5,Au 242.80,0.05
Columna #2,Au 242.80,0.042
Columna #4,Au 242.80,0.012
Columna #5,Au 242.80,0.006
