Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.389
Comp. Cola Columna,Ag 328.07,0.271
Barren,Ag 328.07,0.284
Cabeza puntual retorno,Ag 328.07,0.384
Columna #1,Ag 328.07,0.369
Columna #2,Ag 328.07,0.349
Columna #3,Ag 328.07,0.325
Columna #4,Ag 328.07,0.317
Columna #5,Ag 328.07,0.28
Celda # 11-A,Ag 328.07,0.026
Celda # 11-B,Ag 328.07,0.177
Celda # 11-C,Ag 328.07,0.021
Celda #5-9,Ag 328.07,0.022
Celda #(F1+F2),Ag 328.07,0.391
NE Tubo 1,Ag 328.07,0.26
NE Tubo 2,Ag 328.07,0.22
NE Tubo 4,Ag 328.07,0.809
NE Tubo 5,Ag 328.07,0.041
NE Tubo 6,Ag 328.07,0.056
NE Tubo 7,Ag 328.07,0.768
Puntual Noroeste,Ag 328.07,0.586
Barren Patios,Ag 328.07,0.267
Tubo 3,Ag 328.07,0.681
Especial 1,Ag 328.07,0.02
Especial 2,Ag 328.07,0.048
Especial 3,Ag 328.07,0.019
Especial 4,Ag 328.07,0.021
Especial 5,Ag 328.07,0.032
