Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.830
Comp. Cola Columna,Cu 324.75,1.846
Barren,Cu 324.75,1.644
Cabeza puntual retorno,Cu 324.75,1.753
Celda # 11-A,Cu 324.75,0.023
Celda # 11-B,Cu 324.75,0.029
Celda # 11-C,Cu 324.75,1.347
Celda #5-9,Cu 324.75,2.026
Celda #(F1+F2),Cu 324.75,2.047
NE Tubo 1,Cu 324.75,0.007
NE Tubo 2,Cu 324.75,0.038
NE Tubo 4,Cu 324.75,0.004
NE Tubo 5,Cu 324.75,0.037
NE Tubo 6,Cu 324.75,0.025
NE Tubo 7,Cu 324.75,1.672
Puntual Noroeste,Cu 324.75,2.311
Barren Patios,Cu 324.75,1.666
Tubo 3,Cu 324.75,3.595
Especial 1,Cu 324.75,0.350
Especial 2,Cu 324.75,0.158
Especial 3,Cu 324.75,0.045
Especial 4,Cu 324.75,0.071
Especial 5,Cu 324.75,0.069
Columna #1,Cu 324.75,1.697
Columna #2,Cu 324.75,1.715
Columna #3,Cu 324.75,1.693
Columna #4,Cu 324.75,1.666
