Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.152
Comp. Cola Columna,Au 242.80,0.021
Barren,Au 242.80,0.027
Cabeza puntual retorno,Au 242.80,0.149
Columna #1,Au 242.80,0.112
Columna #2,Au 242.80,0.083
Columna #1,Au 242.80,0.116
Columna #3,Au 242.80,0.058
Columna #4,Au 242.80,0.04
Columna #5,Au 242.80,0.028
Celda # 11-A,Au 242.80,0.118
Celda # 11-B,Au 242.80,0.027
Celda # 11-C,Au 242.80,0.017
Celda #5-9,Au 242.80,0.033
Celda #(F1+F2),Au 242.80,0.149
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.187
NE Tubo 4,Au 242.80,0.147
NE Tubo 5,Au 242.80,0.152
NE Tubo 6,Au 242.80,0.214
NE Tubo 7,Au 242.80,0.068
Puntual Noroeste,Au 242.80,0.174
Barren Patios,Au 242.80,0.033
Tubo 3,Au 242.80,0.213
Especial 1,Au 242.80,0.052
Especial 2,Au 242.80,0.08
Especial 3,Au 242.80,0.225
Especial 4,Au 242.80,0.196
Especial 5,Au 242.80,0.08
Especial 6,Au 242.80,0.023
