Sample ID,Analyte Name,Reported Conc (Samp)
PPTDO MC LOTE 198,Fe,3.792
PPTDO MC LOTE 198,Cd,0.237
PPTDO MC LOTE 198,Pb,2.122
PPTDO MC LOTE 198,Cu,10.31
PPTDO MC LOTE 198,Zn,1106
