Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.780
Comp. Cola Columna,Cu 324.75,1.088
Barren,Cu 324.75,0.889
Cabeza puntual retorno,Cu 324.75,0.801
Celda # 11-A,Cu 324.75,0.562
Celda # 11-B,Cu 324.75,0.621
Celda # 11-C,Cu 324.75,1.586
Celda # 6-F2,Cu 324.75,0.195
Celda #5-9,Cu 324.75,3.247
Celda #(F1+F2),Cu 324.75,0.756
NE Tubo 1,Cu 324.75,0.040
NE Tubo 2,Cu 324.75,0.101
NE Tubo 4,Cu 324.75,0.109
NE Tubo 5,Cu 324.75,0.596
NE Tubo 6,Cu 324.75,2.145
NE Tubo 7,Cu 324.75,2.384
Puntual Noroeste,Cu 324.75,0.617
Barren Patios,Cu 324.75,0.703
Tubo 3,Cu 324.75,0.342
Especial 1,Cu 324.75,0.096
Especial 3,Cu 324.75,0.085
Especial 4,Cu 324.75,0.125
