Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,1.075
Columna #2,Cu 324.75,1.070
Columna #3,Cu 324.75,1.067
Columna #4,Cu 324.75,1.085
Columna #5,Cu 324.75,1.085
Comp. Cabeza Columna,Cu 324.75,1.036
Comp. Cola Columna,Cu 324.75,1.042
Barren,Cu 324.75,1.025
Cabeza puntual retorno,Cu 324.75,1.095
Celda # 11-A,Cu 324.75,0.140
Celda # 11-B,Cu 324.75,0.171
Celda # 11-C,Cu 324.75,1.750
Celda #5-9,Cu 324.75,3.848
Celda #(F1+F2),Cu 324.75,1.108
NE Tubo 1,Cu 324.75,0.135
NE Tubo 2,Cu 324.75,0.149
NE Tubo 4,Cu 324.75,0.115
NE Tubo 5,Cu 324.75,0.111
NE Tubo 6,Cu 324.75,0.116
NE Tubo 7,Cu 324.75,0.465
Puntual Noroeste,Cu 324.75,1.167
Barren Patios,Cu 324.75,1.047
Tubo 3,Cu 324.75,1.973
Especial 1,Cu 324.75,0.912
Especial 2,Cu 324.75,0.613
Especial 3,Cu 324.75,0.215
Especial 4,Cu 324.75,0.227
Especial 5,Cu 324.75,0.379
