Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.135
Comp. Cola Columna,Cu 324.75,0.645
Barren,Cu 324.75,0.65
Cabeza puntual retorno,Cu 324.75,1.193
Celda # 11-A,Cu 324.75,9.764
Celda # 11-B,Cu 324.75,0.293
Celda # 11-C,Cu 324.75,0.31
Celda #5-9,Cu 324.75,0.135
Celda #(F1+F2),Cu 324.75,0.817
NE Tubo 1,Cu 324.75,0.112
NE Tubo 2,Cu 324.75,1.164
NE Tubo 4,Cu 324.75,0.645
NE Tubo 5,Cu 324.75,0.249
NE Tubo 6,Cu 324.75,1.5
NE Tubo 7,Cu 324.75,0.587
Puntual Noroeste,Cu 324.75,0.946
Barren Patios,Cu 324.75,0.629
Tubo 3,Cu 324.75,1.005
Especial 1,Cu 324.75,0.382
Especial 2,Cu 324.75,0.149
Especial 3,Cu 324.75,0.343
Especial 4,Cu 324.75,0.52
Especial 5,Cu 324.75,0.187
Especial 6,Cu 324.75,0.156
Columna #1,Cu 324.75,0.855
Columna #2,Cu 324.75,0.707
Columna #3,Cu 324.75,0.569
Columna #4,Cu 324.75,0.545
Columna #5,Cu 324.75,0.541
