Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.201
Cabeza puntual retorno,Au 242.80,0.199
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.014
Columna #1,Au 242.80,0.109
Columna #2,Au 242.80,0.055
Columna #3,Au 242.80,0.031
Columna #4,Au 242.80,0.02
Columna #5,Au 242.80,0.008
Celda # 11-A,Au 242.80,0.031
Celda # 11-B,Au 242.80,0.01
Celda # 11-C,Au 242.80,0.018
Celda #5-9,Au 242.80,0.11
Celda #(F1+F2),Au 242.80,0.198
NE Tubo 1,Au 242.80,0.739
NE Tubo 2,Au 242.80,0.198
NE Tubo 4,Au 242.80,0.022
NE Tubo 5,Au 242.80,0.023
NE Tubo 6,Au 242.80,0.022
NE Tubo 7,Au 242.80,0.01
Puntual Noroeste,Au 242.80,0.078
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.031
Especial 1,Au 242.80,0.456
Especial 2,Au 242.80,0.098
Especial 3,Au 242.80,0.013
Especial 4,Au 242.80,0.018
Especial 5,Au 242.80,0.417
