Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.128
Columna #2,Au 242.80,0.097
Columna #3,Au 242.80,0.076
Columna #4,Au 242.80,0.055
Columna #5,Au 242.80,0.017
Comp. Cabeza Columna,Au 242.80,0.13
Comp. Cola Columna,Au 242.80,0.016
Barren,Au 242.80,0.021
Cabeza puntual retorno,Au 242.80,0.132
Celda # 11-A,Au 242.80,0.025
Celda # 11-B,Au 242.80,0.019
Celda # 11-C,Au 242.80,0.095
Celda #5-9,Au 242.80,0.418
Celda #(F1+F2),Au 242.80,0.11
NE Tubo 1,Au 242.80,0.084
NE Tubo 2,Au 242.80,0.041
NE Tubo 4,Au 242.80,0.016
NE Tubo 5,Au 242.80,0.027
NE Tubo 6,Au 242.80,0.026
NE Tubo 7,Au 242.80,0.027
Puntual Noroeste,Au 242.80,0.104
Barren Patios,Au 242.80,0.015
Tubo 3,Au 242.80,0.132
Especial 1,Au 242.80,0.295
Especial 2,Au 242.80,0.298
Especial 3,Au 242.80,0.007
Especial 4,Au 242.80,0.008
Especial 5,Au 242.80,0.389
