Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.193
Comp. Cola Columna,Au 242.80,0.018
Barren,Au 242.80,0.02
Cabeza puntual retorno,Au 242.80,0.195
Celda # 11-A,Au 242.80,0.052
Celda # 11-B,Au 242.80,0.019
Celda # 11-C,Au 242.80,0.019
Celda # 6-F2,Au 242.80,0.3
Celda #5-9,Au 242.80,0.098
Celda #(F1+F2),Au 242.80,0.212
NE Tubo 1,Au 242.80,0.647
NE Tubo 2,Au 242.80,0.137
NE Tubo 4,Au 242.80,0.02
NE Tubo 5,Au 242.80,0.012
NE Tubo 6,Au 242.80,0.01
NE Tubo 7,Au 242.80,0.235
Puntual Noroeste,Au 242.80,0.189
Barren Patios,Au 242.80,0.017
Tubo 3,Au 242.80,0.284
Especial 1,Au 242.80,0.205
Especial 2,Au 242.80,0.086
Especial 3,Au 242.80,0.044
Especial 4,Au 242.80,0.034
Especial 5,Au 242.80,0.189
