Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.441
Comp. Cola Columna,Ag 328.07,0.21
Barren,Ag 328.07,0.224
Cabeza puntual retorno,Ag 328.07,0.447
Celda # 11-A,Ag 328.07,0.027
Celda # 11-B,Ag 328.07,0.031
Celda # 11-C,Ag 328.07,0.017
Celda # 6-F2,Ag 328.07,0.653
Celda #5-9,Ag 328.07,0.069
Celda #(F1+F2),Ag 328.07,0.465
NE Tubo 1,Ag 328.07,3.45
NE Tubo 2,Ag 328.07,0.093
NE Tubo 4,Ag 328.07,0.049
NE Tubo 5,Ag 328.07,0.031
NE Tubo 6,Ag 328.07,0.01
NE Tubo 7,Ag 328.07,0.622
Puntual Noroeste,Ag 328.07,0.367
Barren Patios,Ag 328.07,0.195
Tubo 3,Ag 328.07,0.478
Especial 1,Ag 328.07,0.134
Especial 2,Ag 328.07,0.055
Especial 3,Ag 328.07,0.023
Especial 4,Ag 328.07,0.017
Especial 5,Ag 328.07,0.102
