Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,2.274
Comp. Cola Columna,Cu 324.75,2.335
Barren,Cu 324.75,2.022
Cabeza puntual retorno,Cu 324.75,2.158
Celda # 11-A,Cu 324.75,0.389
Celda # 11-B,Cu 324.75,0.052
Celda # 11-C,Cu 324.75,0.047
Celda # 6-F2,Cu 324.75,0.022
Celda #5-9,Cu 324.75,2.666
Celda #(F1+F2),Cu 324.75,2.587
NE Tubo 1,Cu 324.75,0.032
NE Tubo 2,Cu 324.75,0.196
NE Tubo 4,Cu 324.75,1.750
NE Tubo 5,Cu 324.75,6.729
NE Tubo 6,Cu 324.75,7.469
NE Tubo 7,Cu 324.75,0.655
Puntual Noroeste,Cu 324.75,2.508
Barren Patios,Cu 324.75,2.089
Tubo 3,Cu 324.75,1.464
Especial 1,Cu 324.75,0.476
Especial 2,Cu 324.75,0.042
Especial 3,Cu 324.75,0.767
Especial 4,Cu 324.75,3.410
Especial 5,Cu 324.75,0.175
