Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.116
Comp. Cola Columna,Cu 324.75,1.166
Barren,Cu 324.75,1.357
Cabeza puntual retorno,Cu 324.75,1.128
Celda # 11-A,Cu 324.75,4.002
Celda # 11-B,Cu 324.75,0.226
Celda # 11-C,Cu 324.75,0.522
Celda #5-9,Cu 324.75,0.101
Celda #(F1+F2),Cu 324.75,1.034
NE Tubo 1,Cu 324.75,0.087
NE Tubo 2,Cu 324.75,0.203
NE Tubo 4,Cu 324.75,0.163
NE Tubo 5,Cu 324.75,0.16
NE Tubo 6,Cu 324.75,0.184
NE Tubo 7,Cu 324.75,0.533
Puntual Noroeste,Cu 324.75,1.051
Barren Patios,Cu 324.75,1.24
Tubo 3,Cu 324.75,2.971
Especial 1,Cu 324.75,0.305
Especial 2,Cu 324.75,0.124
Especial 3,Cu 324.75,3.479
Especial 4,Cu 324.75,4.139
Especial 5,Cu 324.75,0.162
Sample029,Cu 324.75,0.123
Columna #1,Cu 324.75,1.173
Columna #2,Cu 324.75,1.21
Columna #3,Cu 324.75,1.208
Columna #4,Cu 324.75,1.273
Columna #5,Cu 324.75,1.28
