Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.335
Comp. Cola Columna,Cu 324.75,0.410
Barren,Cu 324.75,0.437
Cabeza puntual retorno,Cu 324.75,0.329
Celda # 11-A,Cu 324.75,0.138
Celda # 11-B,Cu 324.75,0.121
Celda # 11-C,Cu 324.75,0.214
Celda # 6-F2,Cu 324.75,1.195
Celda #5-9,Cu 324.75,2.778
Celda #(F1+F2),Cu 324.75,0.290
NE Tubo 1,Cu 324.75,0.049
NE Tubo 2,Cu 324.75,0.141
NE Tubo 4,Cu 324.75,0.154
NE Tubo 5,Cu 324.75,0.103
NE Tubo 6,Cu 324.75,0.152
NE Tubo 7,Cu 324.75,0.159
Puntual Noroeste,Cu 324.75,0.167
Barren Patios,Cu 324.75,0.375
Tubo 3,Cu 324.75,0.237
Especial 1,Cu 324.75,0.074
Especial 2,Cu 324.75,0.055
Especial 3,Cu 324.75,0.097
Especial 4,Cu 324.75,0.084
Especial 5,Cu 324.75,0.117
