Analista,ARM,,,,,,,,,
Fecha de inicio,15/01/2023 11:01 a. m.  GMT: 15/01/2023 05:01 p. m.,,,,,,,,,
Hoja de trabajo,SA000020_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,13.4,-0.0006,0.0005,-0.0006,-0.0005,-0.0007
,PATRÓN 1,0.5,,mg/L,2.8,0.012,-0.0005,0.0119,0.0124,0.0117
,PATRÓN 2,1,,mg/L,0.6,0.0269,-0.0008,0.0269,0.0267,0.0271
,PATRÓN 3,2,,mg/L,3.1,0.0558,-0.0002,0.0539,0.0563,0.0572
,PATRÓN 4,5,,mg/L,1.9,0.1417,-0.0004,0.1389,0.1421,0.1442
,PATRÓN 5,10,,mg/L,1.9,0.2878,0.0002,0.2814,0.2903,0.2917
,BLANCO,-0.0023,,mg/L,>100,-0.0001,-0.0003,0.0003,-0.0004,-0.0001
,BLANCO REACTIVO,0,,mg/L,21.8,-0.0009,0.0005,-0.001,-0.001,-0.0007
,PATRON,0.4974,,mg/L,2.4,0.0125,0.001,0.0121,0.0127,0.0126
,SA000020-001,0.1223,,mg/L,8.8,0.0132,0.0014,0.0143,0.0132,0.012
,SA000020-002,0.0396,,mg/L,11.2,0.0041,0.0014,0.0039,0.0047,0.0038
,SA000020-003,0.1079,,mg/L,3.6,0.0116,0.0013,0.0113,0.0114,0.0121
,SA000020-004,0.0854,,mg/L,1.4,0.0091,0.0017,0.0092,0.0092,0.009
,SA000020-005,0.1446,,mg/L,3,0.0157,0.0016,0.0155,0.0162,0.0153
,BLANCO REACTIVO,0,,mg/L,40.6,-0.001,0.0006,-0.0005,-0.0012,-0.0013
,PATRON,0.4937,,mg/L,4.5,0.0124,0.0021,0.0117,0.0126,0.0128
,SA000020-006,0.161,,mg/L,4,0.0174,0.002,0.0181,0.0175,0.0167
,SA000020-007,0.1712,,mg/L,1.7,0.0183,0.0017,0.0187,0.0182,0.0181
,SA000020-008,0.1003,,mg/L,3.8,0.0108,0.0013,0.011,0.011,0.0103
,SA000020-009,0.0066,,mg/L,19,0.0007,0.0014,0.0008,0.0007,0.0006
,SA000020-010,0.229,,mg/L,3.4,0.0252,0.0009,0.0242,0.0255,0.0258
,BLANCO REACTIVO,0,,mg/L,25.2,-0.0011,0.0003,-0.0008,-0.0012,-0.0013
,BLANCO REACTIVO,0,,mg/L,29.3,-0.0012,0.0005,-0.0014,-0.0008,-0.0013
,PATRON,0.5145,,mg/L,4.1,0.0129,0.0011,0.0123,0.0131,0.0133
,BLANCO,-0.0043,,mg/L,>100,-0.0001,0.002,0.0006,-0.0005,-0.0004
,SA000020-011,0.1351,,mg/L,1.8,0.0145,0.0017,0.0146,0.0147,0.0142
,SA000020-012,0.1365,,mg/L,4.3,0.0145,0.0015,0.0138,0.0145,0.0151
,SA000020-013,0.7453,,mg/L,2.3,0.0897,0.0015,0.0873,0.0906,0.0911
,SA000020-014,0.0891,,mg/L,3.3,0.0095,0.0012,0.0095,0.0098,0.0092
,SA000020-015,0.152,,mg/L,2.2,0.0164,0.0014,0.0161,0.0162,0.0168
,BLANCO REACTIVO,0,,mg/L,25.2,-0.001,-0.0004,-0.0011,-0.0012,-0.0007
,PATRON,0.5015,,mg/L,3.3,0.0126,0.0015,0.013,0.0121,0.0126
,SA000020-016,0.1189,,mg/L,4.3,0.0128,0.0012,0.0134,0.0123,0.0128
,SA000020-017,0.1167,,mg/L,1.3,0.0125,0.001,0.0124,0.0127,0.0124
,SA000020-018,0.1252,,mg/L,2.8,0.0135,0.0006,0.0135,0.0131,0.0138
,SA000020-019,0.2327,,mg/L,2.3,0.0256,0.0015,0.0258,0.0249,0.0261
,SA000020-020,0.6372,,mg/L,3.7,0.073,0.0018,0.07,0.0739,0.0751
,BLANCO,-0.0043,,mg/L,>100,-0.0001,0.0017,0.0001,-0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,36.4,-0.0011,0,-0.0015,-0.0012,-0.0007
,BLANCO REACTIVO,0,,mg/L,56.5,-0.0009,0.0001,-0.0003,-0.0011,-0.0013
,PATRON,0.5096,,mg/L,1.5,0.0128,0.0002,0.0127,0.013,0.0126
,SA000020-021,0.0741,,mg/L,2.6,0.0079,0.0014,0.008,0.008,0.0076
,SA000020-022,0.1454,,mg/L,1.9,0.0157,0.0013,0.0154,0.0159,0.0159
,SA000020-023,0.4692,,mg/L,1.9,0.0542,0.0011,0.0534,0.0537,0.0553
,SA000020-024,0.1878,,mg/L,0.9,0.0201,0.0013,0.0201,0.0202,0.0199
,SA000020-025,0.0005,,mg/L,>100,0,0.0015,0.0004,-0.0001,-0.0001
,PATRON,0.5143,,mg/L,4.2,0.0129,0.0013,0.0123,0.0131,0.0133
,SA000020-026,0.1321,,mg/L,2,0.0142,0.0008,0.0144,0.0144,0.0139
,SA000020-027,0.1163,,mg/L,3.4,0.0125,0.0016,0.0124,0.0129,0.0121
,SA000020-028,0.1208,,mg/L,1.7,0.013,0.0008,0.0131,0.0132,0.0127
,SA000020-029,0.1026,,mg/L,1.2,0.0109,0.0012,0.0108,0.0111,0.0108
,SA000020-030,0.0948,,mg/L,4.4,0.0101,0.0011,0.0097,0.0106,0.01
,BLANCO,0.0084,,mg/L,>100,0.0002,0.0007,0.0001,0.0005,0.0001
,BLANCO REACTIVO,0,,mg/L,17.7,-0.0011,0,-0.0012,-0.0009,-0.0013
,PATRON,0.489,,mg/L,4.3,0.0122,-0.0004,0.0122,0.0117,0.0128
,SA000020-031,0.0939,,mg/L,2.4,0.01,0.0005,0.0102,0.0098,0.0098
,SA000020-032,0.7612,,mg/L,1.6,0.0919,0.0005,0.0902,0.0925,0.093
,BLANCO,-0.0102,,mg/L,>100,-0.0002,0,-0.0006,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,28.1,-0.0008,0.0002,-0.0008,-0.0011,-0.0006
,PATRON,0.5021,,mg/L,4.7,0.0126,0.0013,0.0131,0.0127,0.012
,,,mg/L,,,,,,,
