Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.500
Cabeza puntual retorno,Cu 324.75,0.432
Celda #(F1+F2),Cu 324.75,0.436
Puntual Noroeste,Cu 324.75,0.323
Tubo 3,Cu 324.75,0.709
Comp. Cola Columna,Cu 324.75,0.353
Barren,Cu 324.75,0.334
Celda # 11-A,Cu 324.75,0.103
Celda # 11-B,Cu 324.75,0.141
Celda # 11-C,Cu 324.75,0.086
Celda #5-9,Cu 324.75,0.317
NE Tubo 1,Cu 324.75,0.041
NE Tubo 2,Cu 324.75,0.050
NE Tubo 4,Cu 324.75,0.095
NE Tubo 5,Cu 324.75,0.054
NE Tubo 6,Cu 324.75,0.031
NE Tubo 7,Cu 324.75,0.139
Barren Patios,Cu 324.75,0.339
Especial 1,Cu 324.75,0.049
Especial 2,Cu 324.75,0.026
Especial 3,Cu 324.75,0.082
Especial 4,Cu 324.75,0.080
Especial 5,Cu 324.75,0.035
Columna #1,Cu 324.75,0.345
Columna #2,Cu 324.75,0.350
Columna #3,Cu 324.75,0.366
Columna #4,Cu 324.75,0.369
Columna #5,Cu 324.75,0.344
