Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.34
Cabeza puntual retorno,Cu 324.75,0.269
Celda #(F1+F2),Cu 324.75,0.287
Puntual Noroeste,Cu 324.75,0.312
Tubo 3,Cu 324.75,0.487
NE Tubo 2,Cu 324.75,0.079
NE Tubo 4,Cu 324.75,0.088
Especial 1,Cu 324.75,0.052
Especial 2,Cu 324.75,0.025
Especial 3,Cu 324.75,0.145
Especial 4,Cu 324.75,0.142
Especial 5,Cu 324.75,0.092
Columna #1,Cu 324.75,0.245
Columna #2,Cu 324.75,0.281
Columna #3,Cu 324.75,0.272
Columna #4,Cu 324.75,0.283
Columna #5,Cu 324.75,0.295
Comp. Cola Columna,Cu 324.75,0.325
Barren,Cu 324.75,0.334
Barren Patios,Cu 324.75,0.237
NE Tubo 1,Cu 324.75,0.032
NE Tubo 5,Cu 324.75,0.042
NE Tubo 6,Cu 324.75,0.025
NE Tubo 7,Cu 324.75,0.542
Celda # 11-A,Cu 324.75,0.089
Celda # 11-B,Cu 324.75,0.045
Celda # 11-C,Cu 324.75,0.077
Celda #5-9,Cu 324.75,0.903
