Analista,,,,,,,,,
Fecha de inicio,15/02/2023 10:42,,,,,,,,
Hoja de trabajo,Sa000375_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag VHAAAG (Llama),,,,,,,,,
,,,,,,,,,
Ag,PATRON,1.0155,,mg/L,0.6,0.1316,0.1324,0.1309,0.1314
Ag,BLANCO,-0.0031,,mg/L,30.4,-0.0004,-0.0003,-0.0004,-0.0005
Ag,BLANCO REACTIVO,0,,mg/L,>100,0.001,0.0004,-0.0001,0.0026
Ag,SA000375-001,2.9013,,mg/L,2.7,0.0157,0.0154,0.0157,0.0162
Ag,SA000375-002,3.9095,,mg/L,1.1,0.0208,0.0209,0.021,0.0205
Ag,SA000375-003,-0.4498,,mg/L,8.5,-0.0024,-0.0023,-0.0026,-0.0022
Ag,SA000375-004,5.6521,,mg/L,1.9,0.0305,0.0304,0.03,0.0312
Ag,SA000375-005,6.7026,,mg/L,2,0.0358,0.0351,0.0365,0.0357
Ag,PATRON,1.016,,mg/L,1,0.1316,0.1327,0.1322,0.1301
Ag,SA000375-006,5.0709,,mg/L,2.3,0.0267,0.0261,0.0266,0.0274
Ag,SA000375-007,4.9838,,mg/L,3.8,0.0264,0.0263,0.0274,0.0254
Ag,SA000375-008,6.3171,,mg/L,0.3,0.0334,0.0333,0.0335,0.0333
Ag,SA000375-009,3.4581,,mg/L,6.5,0.0184,0.0198,0.0175,0.0179
Ag,SA000375-010,4.8625,,mg/L,1.8,0.0259,0.0261,0.0262,0.0253
Ag,PATRON,1.0123,,mg/L,0.5,0.1312,0.1315,0.1304,0.1317
Ag,BLANCO,-0.0076,,mg/L,80.6,-0.001,-0.0018,-0.0002,-0.001
Ag,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0003,-0.0005,0
Ag,SA000375-011,3.7317,,mg/L,2.8,0.0204,0.0211,0.0202,0.02
Ag,SA000375-012,7.0252,,mg/L,2.3,0.0376,0.0374,0.0369,0.0386
Ag,SA000375-013,10.2898,,mg/L,0.5,0.0547,0.0547,0.0545,0.055
Ag,SA000375-014,9.7767,,mg/L,0.6,0.0517,0.0517,0.0519,0.0513
Ag,SA000375-015,11.3757,,mg/L,0.2,0.0598,0.06,0.0598,0.0597
Ag,PATRON,0.989,,mg/L,1.5,0.1283,0.1262,0.13,0.1287
Ag,SA000375-016,1.6697,,mg/L,46.7,0.009,0.0138,0.0068,0.0063
Ag,SA000375-017,5.4328,,mg/L,2,0.0293,0.03,0.0289,0.029
Ag,SA000375-018,-0.0379,,mg/L,97.9,-0.0002,-0.0001,-0.0001,-0.0004
Ag,SA000375-019,3.2142,,mg/L,3.1,0.0169,0.0167,0.0165,0.0175
Ag,SA000375-020,6.4144,,mg/L,0.7,0.0335,0.0338,0.0335,0.0333
Ag,PATRON,0.9997,,mg/L,0.6,0.1282,0.1277,0.1278,0.1291
Ag,BLANCO,-0.0042,,mg/L,>100,-0.0005,-0.0009,-0.001,0.0003
Ag,BLANCO REACTIVO,0,,mg/L,74.5,-0.0004,-0.0003,-0.0007,-0.0002
Ag,SA000375-021,7.2337,,mg/L,3.3,0.0369,0.0383,0.0362,0.0362
Ag,SA000375-022,15.7705,,mg/L,1.1,0.0833,0.0823,0.0841,0.0834
Ag,PATRON,1.0104,,mg/L,0.1,0.1287,0.1286,0.1288,0.1286
Ag,BLANCO,0.0005,,mg/L,>100,0.0001,0.0003,-0.0002,0.0001
Ag,BLANCO REACTIVO,0,,mg/L,33.5,-0.0005,-0.0003,-0.0006,-0.0005
