Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.074
Cabeza puntual retorno,Au 242.80,0.069
Celda #(F1+F2),Au 242.80,0.077
Puntual Noroeste,Au 242.80,0.079
Tubo 3,Au 242.80,0.124
NE Tubo 2,Au 242.80,0.024
NE Tubo 4,Au 242.80,0.057
Especial 1,Au 242.80,0.054
Especial 2,Au 242.80,0.03
Especial 3,Au 242.80,0.033
Especial 4,Au 242.80,0.035
Especial 5,Au 242.80,0.029
Columna #1,Au 242.80,0.061
Columna #2,Au 242.80,0.044
Columna #3,Au 242.80,0.033
Columna #4,Au 242.80,0.014
Columna #5,Au 242.80,0.01
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.013
Barren Patios,Au 242.80,0.015
NE Tubo 1,Au 242.80,0.013
NE Tubo 5,Au 242.80,0.054
NE Tubo 6,Au 242.80,0.027
NE Tubo 7,Au 242.80,0.058
Celda # 11-A,Au 242.80,0.018
Celda # 11-B,Au 242.80,0.016
Celda # 11-C,Au 242.80,0.017
Celda #5-9,Au 242.80,0.021
