Analyst,Judas Orduño,,,,
Date Started,11/06/2023 1:45 AM  GMT: 10/6/2023 1:59 AM,,,,
Worksheet,LC000466_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
11/06/2023,1:45:30 a.m,PATRON,0.913,,mg/L
11/06/2023,9:45:30 p.m,BLANCO,-0.009,,mg/L
11/06/2023,9:45:30 p.m,REAGENT BLANK,0.004,,mg/L
11/06/2023,9:45:30 p.m,LC000466-001,0.875,,mg/L
11/06/2023,9:45:30 p.m,LC000466-002,0.575,,mg/L
11/06/2023,9:45:30 p.m,LC000466-003,0.925,,mg/L
11/06/2023,9:45:30 p.m,LC000466-004,0.956,,mg/L
11/06/2023,9:45:30 p.m,LC000466-005,0.545,,mg/L
11/06/2023,9:45:30 p.m,LC000466-006,0.006,,mg/L
11/06/2023,9:45:30 p.m,PATRON,0.887,,mg/L
11/06/2023,9:45:30 p.m,LC000466-007,0.946,,mg/L
11/06/2023,9:45:30 p.m,LC000466-008,0.939,,mg/L
11/06/2023,9:45:30 p.m,LC000466-009,1.328,,mg/L
11/06/2023,9:45:30 p.m,LC000466-010,1.938,,mg/L
11/06/2023,9:45:30 p.m,LC000466-011,0.384,,mg/L
11/06/2023,9:45:30 p.m,LC000466-012,0.442,,mg/L
11/06/2023,9:45:30 p.m,PATRON,0.899,,mg/L
11/06/2023,9:45:30 p.m,LC000466-013,0.242,,mg/L
11/06/2023,9:45:30 p.m,PATRON,0.898,,mg/L
