Sample ID,Analyte Name,Reported Conc (Calib)
Comp.Cabeza Columna,Cu 324.75,0.610
Comp. Cola Columna,Cu 324.75,0.797
Barren,Cu 324.75,0.643
Cabeza puntual retorno,Cu 324.75,0.511
Celda # 11-A,Cu 324.75,0.560
Celda # 11-B,Cu 324.75,0.698
Celda # 11-C,Cu 324.75,0.445
Celda # 6-F2,Cu 324.75,0.073
Celda #5-9,Cu 324.75,0.411
Celda #(F1+F2),Cu 324.75,0.554
NE Tubo 1,Cu 324.75,0.052
NE Tubo 2,Cu 324.75,1.183
NE Tubo 4,Cu 324.75,0.126
NE Tubo 5,Cu 324.75,0.692
NE Tubo 6,Cu 324.75,2.050
NE Tubo 7,Cu 324.75,1.181
Puntual Noroeste,Cu 324.75,0.585
Barren Patios,Cu 324.75,0.664
Tubo 3,Cu 324.75,0.358
Especial 1,Cu 324.75,0.558
Especial 2,Cu 324.75,0.571
Especial 3,Cu 324.75,0.133
Especial 4,Cu 324.75,0.096
Especial 5,Cu 324.75,0.353
Especial 6,Cu 324.75,0.526
Pileta Patio,Au 242.80,0.053
27,Au 242.80,0.048
28,Au 242.80,0.052
29,Au 242.80,0.081
30,Au 242.80,0.079
31,Au 242.80,-0.011
32,Au 242.80,0.076
33,Au 242.80,0.079
34,Au 242.80,0.079
35,Au 242.80,0.054
36,Au 242.80,0.048
36,Au 242.80,0.086
37,Au 242.80,0.087
38,Au 242.80,0.091
39,Au 242.80,0.083
40,Au 242.80,0.087
41,Au 242.80,0.088
42,Au 242.80,0.089
43,Au 242.80,0.091
44,Au 242.80,0.089
45,Au 242.80,0.083
46,Au 242.80,-0.003
47,Au 242.80,-0.002
