Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.780
Cabeza puntual retorno,Cu 324.75,0.802
Celda #(F1+F2),Cu 324.75,0.843
Puntual Noroeste,Cu 324.75,0.931
Tubo 3,Cu 324.75,0.618
Comp. Cola Columna,Cu 324.75,0.507
Barren,Cu 324.75,0.751
Celda # 11-A,Cu 324.75,0.964
Celda # 11-B,Cu 324.75,0.193
Celda # 11-C,Cu 324.75,0.567
Celda # 6-F2,Cu 324.75,0.864
Celda #5-9,Cu 324.75,0.657
NE Tubo 1,Cu 324.75,0.134
NE Tubo 2,Cu 324.75,0.209
NE Tubo 4,Cu 324.75,3.080
NE Tubo 5,Cu 324.75,1.090
NE Tubo 6,Cu 324.75,0.608
NE Tubo 7,Cu 324.75,0.184
Barren Patios,Cu 324.75,0.980
Especial 1,Cu 324.75,0.329
Especial 2,Cu 324.75,0.402
Especial 3,Cu 324.75,0.200
Especial 4,Cu 324.75,0.208
Especial 5,Cu 324.75,0.330
