Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.185
Comp. Cola Columna,Cu 324.75,2.190
Barren,Cu 324.75,2.176
Cabeza puntual retorno,Cu 324.75,1.988
Celda # 11-A,Cu 324.75,0.102
Celda # 11-B,Cu 324.75,0.039
Celda # 11-C,Cu 324.75,0.022
Celda #5-9,Cu 324.75,0.992
Celda # 6-F2,Cu 324.75,0.027
Celda #(F1+F2),Cu 324.75,2.339
NE Tubo 1,Cu 324.75,0.119
NE Tubo 2,Cu 324.75,0.413
NE Tubo 4,Cu 324.75,0.666
NE Tubo 5,Cu 324.75,0.636
NE Tubo 6,Cu 324.75,9.689
NE Tubo 7,Cu 324.75,2.407
Puntual Noroeste,Cu 324.75,1.931
Barren Patios,Cu 324.75,1.765
Tubo 3,Cu 324.75,1.732
Especial 1,Cu 324.75,0.075
Especial 2,Cu 324.75,0.035
Especial 3,Cu 324.75,0.090
Especial 4,Cu 324.75,0.260
Especial 5,Cu 324.75,0.107
