Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.238
Comp. Cola Columna,Cu 324.75,1.499
Barren,Cu 324.75,1.048
Cabeza puntual retorno,Cu 324.75,1.219
Celda # 11-A,Cu 324.75,0.112
Celda # 11-B,Cu 324.75,0.063
Celda # 11-C,Cu 324.75,1.11
Celda # 6-F2,Cu 324.75,0.04
Celda #5-9,Cu 324.75,8.13
Celda #(F1+F2),Cu 324.75,0.831
NE Tubo 1,Cu 324.75,0.028
NE Tubo 2,Cu 324.75,0.239
NE Tubo 4,Cu 324.75,1.422
NE Tubo 5,Cu 324.75,1.217
NE Tubo 6,Cu 324.75,1.143
NE Tubo 7,Cu 324.75,1.48
Puntual Noroeste,Cu 324.75,0.712
Barren Patios,Cu 324.75,0.78
Tubo 3,Cu 324.75,0.118
Especial 1,Cu 324.75,0.386
Especial 2,Cu 324.75,0.057
Especial 3,Cu 324.75,0.113
Especial 4,Cu 324.75,0.156
Especial 5,Cu 324.75,1.025
