Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.486
Comp. Cola Columna,Cu 324.75,1.146
Barren,Cu 324.75,1.379
Cabeza puntual retorno,Cu 324.75,1.484
Celda # 11-A,Cu 324.75,7.015
Celda # 11-B,Cu 324.75,0.173
Celda # 11-C,Cu 324.75,0.165
Celda # 6-F2,Cu 324.75,0.231
Celda #5-9,Cu 324.75,0.079
Celda #(F1+F2),Cu 324.75,1.201
NE Tubo 1,Cu 324.75,0.094
NE Tubo 2,Cu 324.75,0.219
NE Tubo 4,Cu 324.75,0.212
NE Tubo 5,Cu 324.75,0.145
NE Tubo 6,Cu 324.75,0.169
NE Tubo 7,Cu 324.75,0.265
Puntual Noroeste,Cu 324.75,1.292
Barren Patios,Cu 324.75,1.091
Tubo 3,Cu 324.75,3.810
Especial 1,Cu 324.75,0.344
Especial 2,Cu 324.75,0.091
Especial 3,Cu 324.75,3.601
Especial 4,Cu 324.75,6.049
Especial 5,Cu 324.75,0.117
