Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.183
Comp. Cola Columna,Au 242.80,0.035
Barren,Au 242.80,0.039
Cabeza puntual retorno,Au 242.80,0.184
Celda # 11-A,Au 242.80,0.173
Celda # 11-B,Au 242.80,0.215
Celda # 11-C,Au 242.80,0.103
Celda #5-9,Au 242.80,0.017
Celda #(F1+F2),Au 242.80,0.171
NE Tubo 1,Au 242.80,0.144
NE Tubo 2,Au 242.80,0.102
NE Tubo 4,Au 242.80,0.227
NE Tubo 5,Au 242.80,0.221
NE Tubo 6,Au 242.80,0.113
NE Tubo 7,Au 242.80,0.228
Puntual Noroeste,Au 242.80,0.158
Barren Patios,Au 242.80,0.033
Tubo 3,Au 242.80,0.148
Especial 1,Au 242.80,0.04
Especial 2,Au 242.80,0.028
Especial 3,Au 242.80,0.016
Especial 4,Au 242.80,0.016
Especial 5,Au 242.80,0.023
Sample029,Au 242.80,0.008
Columna #1,Au 242.80,0.125
Columna #2,Au 242.80,0.088
Columna #3,Au 242.80,0.046
Columna #4,Au 242.80,0.031
Columna #5,Au 242.80,0.028
