Analyst,Elizandell,,,,
Date Started,10/08/2023,,,,
Worksheet,LC000917-RCK_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
10/08/2023,10:01:00 p. m.,PATRON,0.918,,mg/L
10/08/2023,10:02:00 p. m.,BLANCO,-0.006,,mg/L
10/08/2023,10:03:00 p. m.,REAGENT BLANK,-0.002,,mg/L
10/08/2023,10:04:00 p. m.,LC000917-001,2.148380216,,mg/L
10/08/2023,10:05:00 p. m.,LC000917-004,0.939528073,,mg/L
10/08/2023,10:06:00 p. m.,PATRON,0.919,,mg/L
10/08/2023,10:07:00 p. m.,LC000917-009,25.08657432,,mg/L
10/08/2023,10:08:00 p. m.,LC000917-010,0.031666667,,mg/L
10/08/2023,10:09:00 p. m.,LC000917-011,0.565842936,,mg/L
10/08/2023,10:10:00 p. m.,LC000917-012,0.392176463,,mg/L
10/08/2023,10:11:00 p. m.,PATRON,0.903,,mg/L
10/08/2023,10:12:00 p. m.,BLANCO,,,mg/L
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
