Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.084
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.005
Cabeza puntual retorno,Au 242.80,0.084
Columna #1,Au 242.80,0.071
Columna #2,Au 242.80,0.05
Columna #3,Au 242.80,0.029
Columna #4,Au 242.80,0.015
Columna #5,Au 242.80,0.006
Celda # 11-A,Au 242.80,0.043
Celda # 11-B,Au 242.80,0.004
Celda # 11-C,Au 242.80,0.008
Celda #5-9,Au 242.80,0.088
Celda #(F1+F2),Au 242.80,0.051
NE Tubo 1,Au 242.80,0.006
NE Tubo 2,Au 242.80,0.052
NE Tubo 4,Au 242.80,0.087
NE Tubo 5,Au 242.80,0.04
NE Tubo 6,Au 242.80,0.037
NE Tubo 7,Au 242.80,0.028
Puntual Noroeste,Au 242.80,0.056
Barren Patios,Au 242.80,0.01
Tubo 3,Au 242.80,0.052
Especial 1,Au 242.80,0.303
Especial 2,Au 242.80,0.331
Especial 3,Au 242.80,0.053
Especial 4,Au 242.80,0.1
Especial 5,Au 242.80,0.148
Especial 6,Au 242.80,0.004
