Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.144
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.008
Cabeza puntual retorno,Au 242.80,0.148
Celda # 11-A,Au 242.80,0.022
Celda # 11-B,Au 242.80,0.009
Celda # 11-C,Au 242.80,0.002
Celda # 6-F2,Au 242.80,0.026
Celda #5-9,Au 242.80,0.091
Celda #(F1+F2),Au 242.80,0.162
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.091
NE Tubo 4,Au 242.80,0.08
NE Tubo 5,Au 242.80,0.238
NE Tubo 6,Au 242.80,0.099
NE Tubo 7,Au 242.80,0.266
Puntual Noroeste,Au 242.80,0.162
Barren Patios,Au 242.80,0.015
Tubo 3,Au 242.80,0.166
Especial 1,Au 242.80,0.036
Especial 2,Au 242.80,0.059
Especial 3,Au 242.80,0.038
Especial 4,Au 242.80,0.071
Especial 5,Au 242.80,0.068
Especial 6,Au 242.80,0.002
Pileta Patio,Au 242.80,0.141
