Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.244
Cabeza puntual retorno,Cu 324.75,0.837
Celda #(F1+F2),Cu 324.75,0.963
Puntual Noroeste,Cu 324.75,0.139
Tubo 3,Cu 324.75,0.146
Comp. Cola Columna,Cu 324.75,0.596
Barren,Cu 324.75,0.694
Celda # 11-A,Cu 324.75,0.107
Celda # 11-B,Cu 324.75,0.090
Celda # 11-C,Cu 324.75,1.131
Celda # 6-F2,Cu 324.75,4.122
Celda #5-9,Cu 324.75,0.054
NE Tubo 1,Cu 324.75,0.079
NE Tubo 2,Cu 324.75,0.101
NE Tubo 4,Cu 324.75,0.023
NE Tubo 5,Cu 324.75,0.073
NE Tubo 6,Cu 324.75,0.054
NE Tubo 7,Cu 324.75,0.206
Barren Patios,Cu 324.75,0.531
Especial 1,Cu 324.75,0.106
Especial 2,Cu 324.75,0.078
Especial 3,Cu 324.75,0.118
Especial 4,Cu 324.75,0.077
Especial 5,Cu 324.75,0.066
Barren 2,Cu 324.75,0.726
