Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cab Columna,Cu 324.75,1.044
Comp. Cola Columna,Cu 324.75,1.004
Barren,Cu 324.75,1.021
Cabeza puntual retorno,Cu 324.75,1.071
Celda # 11-A,Cu 324.75,0.268
Celda # 11-B,Cu 324.75,0.446
Celda # 11-C,Cu 324.75,3.213
Celda # 6-F2,Cu 324.75,0.135
Celda #5-9,Cu 324.75,0.914
Celda #(F1+F2),Cu 324.75,1.005
NE Tubo 1,Cu 324.75,0.113
NE Tubo 2,Cu 324.75,0.321
NE Tubo 4,Cu 324.75,0.582
NE Tubo 5,Cu 324.75,0.196
NE Tubo 6,Cu 324.75,0.935
NE Tubo 7,Cu 324.75,2.828
Puntual Noroeste,Cu 324.75,1.026
Barren Patios,Cu 324.75,0.992
Tubo 3,Cu 324.75,1.18
Especial 1,Cu 324.75,0.24
Especial 2,Cu 324.75,2.375
Especial 3,Cu 324.75,0.178
Especial 4,Cu 324.75,0.221
Especial 5,Cu 324.75,0.749
Especial 6,Cu 324.75,1.065
