Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.883
Cabeza puntual retorno,Cu 324.75,1.741
Celda #(F1+F2),Cu 324.75,2.034
Puntual Noroeste,Cu 324.75,2.707
Tubo 3,Cu 324.75,4.27
NE Tubo 2,Cu 324.75,0.285
NE Tubo 4,Cu 324.75,0.181
Especial 1,Cu 324.75,0.086
Especial 2,Cu 324.75,0.077
Especial 3,Cu 324.75,0.127
Especial 4,Cu 324.75,0.133
Especial 5,Cu 324.75,0.1
Comp. Cola Columna,Cu 324.75,1.162
Barren,Cu 324.75,1.331
Barren Patios,Cu 324.75,1.198
NE Tubo 1,Cu 324.75,2.538
NE Tubo 5,Cu 324.75,0.028
NE Tubo 6,Cu 324.75,0.495
NE Tubo 7,Cu 324.75,4.576
Celda # 11-A,Cu 324.75,0.08
Celda # 11-B,Cu 324.75,0.106
Celda # 11-C,Cu 324.75,0.033
Celda # 6-F2,Cu 324.75,0.288
Celda #5-9,Cu 324.75,0.059
