Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,0.476
Columna #2,Cu 324.75,0.487
Columna #3,Cu 324.75,0.442
Columna #4,Cu 324.75,0.460
Columna #5,Cu 324.75,0.453
Comp. Cabeza Columna,Cu 324.75,0.427
Comp. Cola Columna,Cu 324.75,0.471
Barren,Cu 324.75,0.457
Cabeza puntual retorno,Cu 324.75,0.408
Celda # 11-A,Cu 324.75,0.217
Celda # 11-B,Cu 324.75,0.082
Celda # 11-C,Cu 324.75,0.611
Celda #5-9,Cu 324.75,3.344
Celda #(F1+F2),Cu 324.75,0.404
NE Tubo 1,Cu 324.75,0.020
NE Tubo 2,Cu 324.75,0.091
NE Tubo 4,Cu 324.75,0.084
NE Tubo 5,Cu 324.75,0.676
NE Tubo 6,Cu 324.75,2.562
NE Tubo 7,Cu 324.75,2.625
Puntual Noroeste,Cu 324.75,0.555
Barren Patios,Cu 324.75,0.566
Tubo 3,Cu 324.75,0.297
Especial 1,Cu 324.75,0.056
Especial 2,Cu 324.75,0.033
Especial 3,Cu 324.75,0.050
Especial 4,Cu 324.75,0.057
Especial 5,Cu 324.75,0.205
