Analyst,Elias Ortega,,,,
Date Started,10/06/2023 3:45 AM  GMT: 10/6/2023 3:59 AM,,,,
Worksheet,LC000461_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,5:45:30 p.m,PATRON,0.921,,mg/L
10/06/2023,5:46:00 p.m,BLANCO,-0.026,,mg/L
10/06/2023,5:46:30 p.m,REAGENT BLANK,0.0001,,mg/L
10/06/2023,5:47:00 p.m,LC000461-001,0.036,,mg/L
10/06/2023,5:47:30 p.m,LC000461-002,0.019,,mg/L
10/06/2023,5:48:00 p.m,LC000461-003,0.015,,mg/L
10/06/2023,5:48:30 p.m,LC000461-004,0.012,,mg/L
10/06/2023,5:49:00 p.m,LC000461-005,0.020,,mg/L
10/06/2023,5:49:30 p.m,LC000461-006,0.025,,mg/L
10/06/2023,5:50:00 p.m,PATRON,0.900,,mg/L
10/06/2023,5:50:30 p.m,LC000461-007,0.021,,mg/L
10/06/2023,5:51:00 p.m,LC000461-008,0.020,,mg/L
10/06/2023,5:51:30 p.m,LC000461-009,0.022,,mg/L
10/06/2023,5:52:00 p.m,LC000461-010,0.018,,mg/L
10/06/2023,5:52:30 p.m,LC000461-011,0.013,,mg/L
10/06/2023,5:53:00 p.m,LC000461-012,0.013,,mg/L
10/06/2023,5:53:30 p.m,PATRON,0.902,,mg/L
10/06/2023,5:54:00 p.m,LC000461-013,0.013,,mg/L
10/06/2023,5:54:30 p.m,LC000461-014,0.018,,mg/L
10/06/2023,5:55:00 p.m,LC000461-015,0.016,,mg/L
10/06/2023,5:55:30 p.m,LC000461-016,0.016,,mg/L
10/06/2023,5:56:00 p.m,LC000461-017,0.019,,mg/L
10/06/2023,5:56:30 p.m,LC000461-018,0.128,,mg/L
10/06/2023,5:57:00 p.m,PATRON,0.888,,mg/L
10/06/2023,5:57:30 p.m,LC000461-019,0.020,,mg/L
10/06/2023,5:58:00 p.m,LC000461-020,0.020,,mg/L
10/06/2023,5:58:30 p.m,LC000461-021,0.020,,mg/L
10/06/2023,5:59:00 p.m,LC000461-022,0.012,,mg/L
10/06/2023,5:59:30 p.m,LC000461-023,0.012,,mg/L
10/06/2023,6:00:00 p.m,LC000461-024,0.017,,mg/L
10/06/2023,6:00:30 p.m,PATRON,0.896,,mg/L
