Sample ID,Analyte Name,Reported Conc (Samp)
LC-116,Cu,13.83
LC-117,Cu,13.81
LC-118,Cu,15.03
LC-119,Cu,15.26
LC-120,Cu,13.92
LC-121,Cu,15.46
LC-116,Fe,0.058
LC-117,Fe,0.066
LC-118,Fe,0.069
LC-119,Fe,0.056
LC-120,Fe,0.059
LC-121,Fe,0.064
