Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.102
Cabeza puntual retorno,Cu 324.75,1.102
Celda #(F1+F2),Cu 324.75,1.125
Puntual Noroeste,Cu 324.75,1.137
Barren Patios,Cu 324.75,0.667
Tubo 3,Cu 324.75,0.334
Comp. Cola Columna,Cu 324.75,0.799
Barren,Cu 324.75,0.722
Celda # 11-A,Cu 324.75,0.180
Celda # 11-B,Cu 324.75,0.121
Celda # 11-C,Cu 324.75,1.046
Celda #5-9,Cu 324.75,0.141
NE Tubo 1,Cu 324.75,0.104
NE Tubo 2,Cu 324.75,0.196
NE Tubo 4,Cu 324.75,1.580
NE Tubo 5,Cu 324.75,0.992
NE Tubo 6,Cu 324.75,0.189
NE Tubo 7,Cu 324.75,3.623
Especial 1,Cu 324.75,0.166
Especial 2,Cu 324.75,0.147
Especial 3,Cu 324.75,0.229
Especial 4,Cu 324.75,0.295
Especial 5,Cu 324.75,0.185
Columna #1,Cu 324.75,1.072
Columna #2,Cu 324.75,0.860
Columna #3,Cu 324.75,0.735
Columna #4,Cu 324.75,0.655
Columna #5,Cu 324.75,0.563
