Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.782
Comp. Cola Columna,Cu 324.75,0.771
Barren,Cu 324.75,0.734
Cabeza puntual retorno,Cu 324.75,0.764
Celda # 11-A,Cu 324.75,0.119
Celda # 11-B,Cu 324.75,0.048
Celda # 11-C,Cu 324.75,0.060
Celda # 6-F2,Cu 324.75,0.053
Celda #5-9,Cu 324.75,0.809
Celda #(F1+F2),Cu 324.75,0.628
NE Tubo 1,Cu 324.75,0.030
NE Tubo 2,Cu 324.75,0.060
NE Tubo 4,Cu 324.75,0.059
NE Tubo 5,Cu 324.75,0.046
NE Tubo 6,Cu 324.75,0.061
NE Tubo 7,Cu 324.75,0.159
Puntual Noroeste,Cu 324.75,0.633
Barren Patios,Cu 324.75,0.635
Tubo 3,Cu 324.75,1.605
Especial 1,Cu 324.75,0.049
Especial 2,Cu 324.75,0.037
Especial 3,Cu 324.75,0.126
Especial 4,Cu 324.75,0.705
Especial 5,Cu 324.75,0.059
