Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.116
Comp. Cola Columna,Au 242.80,0.018
Barren,Au 242.80,0.014
Cabeza puntual retorno,Au 242.80,0.113
Celda # 11-A,Au 242.80,0.012
Celda # 11-B,Au 242.80,0.01
Celda # 11-C,Au 242.80,0.008
Celda # 6-F2,Au 242.80,0.019
Celda #5-9,Au 242.80,0.051
Celda #(F1+F2),Au 242.80,0.126
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.065
NE Tubo 4,Au 242.80,0.166
NE Tubo 5,Au 242.80,0.157
NE Tubo 6,Au 242.80,0.054
NE Tubo 7,Au 242.80,0.142
Puntual Noroeste,Au 242.80,0.127
Barren Patios,Au 242.80,0.02
Especial 1,Au 242.80,0.064
Especial 2,Au 242.80,0.059
Especial 3,Au 242.80,0.012
Especial 4,Au 242.80,0.037
Especial 5,Au 242.80,0.069
Especial 6,Au 242.80,0.009
Pileta Patio,Au 242.80,0.272
