Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.476
Comp. Cola Columna,Cu 324.75,1.369
Barren,Cu 324.75,1.456
Cabeza puntual retorno,Cu 324.75,1.391
Celda # 11-A,Cu 324.75,1.915
Celda # 11-B,Cu 324.75,0.032
Celda # 11-C,Cu 324.75,0.028
Celda #5-9,Cu 324.75,3.285
Celda #(F1+F2),Cu 324.75,1.187
NE Tubo 1,Cu 324.75,0.008
NE Tubo 2,Cu 324.75,0.45
NE Tubo 4,Cu 324.75,0.116
NE Tubo 5,Cu 324.75,0.018
NE Tubo 6,Cu 324.75,0.022
NE Tubo 7,Cu 324.75,0.952
Puntual Noroeste,Cu 324.75,0.983
Barren Patios,Cu 324.75,1.337
Tubo 3,Cu 324.75,1.229
Especial 1,Cu 324.75,1.485
Especial 2,Cu 324.75,1.422
Especial 3,Cu 324.75,0.094
Especial 4,Cu 324.75,0.05
Especial 5,Cu 324.75,1.661
Columna #1,Cu 324.75,1.36
Columna #2,Cu 324.75,1.3
Columna #3,Cu 324.75,1.271
Columna #4,Cu 324.75,1.269
Columna #5,Cu 324.75,1.272
