Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.149
Comp. Cola Columna,Au 242.80,0.014
Barren,Au 242.80,0.013
Cabeza puntual retorno,Au 242.80,0.151
Celda # 11-A,Au 242.80,0.06
Celda # 11-B,Au 242.80,0.103
Celda # 11-C,Au 242.80,0.105
Celda # 6-F2,Au 242.80,0.045
Celda #5-9,Au 242.80,0.07
Celda #(F1+F2),Au 242.80,0.155
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.137
NE Tubo 4,Au 242.80,0.104
NE Tubo 5,Au 242.80,0.103
NE Tubo 6,Au 242.80,0.106
NE Tubo 7,Au 242.80,0.303
Puntual Noroeste,Au 242.80,0.166
Barren Patios,Au 242.80,0.009
Tubo 3,Au 242.80,0.159
Especial 1,Au 242.80,0.084
Especial 2,Au 242.80,0.07
Especial 3,Au 242.80,0.007
Especial 4,Au 242.80,0.012
Especial 5,Au 242.80,0.054
Especial 6,Au 242.80,0.002
