Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000516_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,01:11:24 a. m.,PATRON,0.910,,mg/L
4/29/2023,01:11:38 a. m.,BLANCO,0.001,,mg/L
4/29/2023,01:11:52 a. m.,REAGENT BLANK,-0.001,,mg/L
4/29/2023,01:12:06 a. m.,LC000516-001,0.022,,mg/L
4/29/2023,01:12:18 a. m.,LC000516-002,0.018,,mg/L
4/29/2023,01:12:30 a. m.,LC000516-003,0.012,,mg/L
4/29/2023,01:12:46 a. m.,LC000516-004,0.013,,mg/L
4/29/2023,01:12:56 a. m.,LC000516-005,0.048,,mg/L
4/29/2023,01:11:24 a. m.,LC000516-006,0.008,,mg/L
4/29/2023,01:11:38 a. m.,PATRON,0.925,,mg/L
4/29/2023,01:11:52 a. m.,LC000516-007,0.013,,mg/L
4/29/2023,01:12:06 a. m.,LC000516-008,0.007,,mg/L
4/29/2023,01:12:18 a. m.,LC000516-009,0.005,,mg/L
4/29/2023,01:12:30 a. m.,LC000516-010,0.009,,mg/L
4/29/2023,01:12:46 a. m.,LC000516-011,0.005,,mg/L
4/29/2023,01:12:56 a. m.,LC000516-012,0.005,,mg/L
4/29/2023,01:11:24 a. m.,PATRON,0.915,,mg/L
4/29/2023,01:11:38 a. m.,LC000516-013,0.021,,mg/L
4/29/2023,01:11:52 a. m.,LC000516-014,0.008,,mg/L
4/29/2023,01:12:06 a. m.,LC000516-015,0.004,,mg/L
4/29/2023,01:12:18 a. m.,LC000516-016,0.026,,mg/L
4/29/2023,01:12:30 a. m.,LC000516-017,0.004,,mg/L
4/29/2023,01:12:46 a. m.,LC000516-018,0.455,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.915,,mg/L
4/29/2023,01:11:24 a. m.,LC000516-019,0.003,,mg/L
4/29/2023,01:11:38 a. m.,LC000516-020,0.006,,mg/L
4/29/2023,01:11:52 a. m.,LC000516-021,0.006,,mg/L
4/29/2023,01:12:06 a. m.,LC000516-022,0.046,,mg/L
4/29/2023,01:12:20 a. m.,LC000516-023,0.029,,mg/L
4/29/2023,01:12:34 a. m.,LC000516-024,0.017,,mg/L
4/29/2023,01:12:48 a. m.,PATRON,0.919,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
