Analista,ARM,,,,,,,
Fecha de inicio,7/5/2022 4:27 PM  GMT: 7/5/2022 9:27 PM,,,,,,,
Hoja de trabajo,SA000008_6,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
Ag,SA000008-049,1.2726,,mg/L,0.0064,0.0067,0.0061,0.0065
Ag,SA000008-050,-0.0543,,mg/L,-0.0003,0.0003,-0.0005,-0.0006
Ag,PATRON,1.011,,mg/L,0.1123,0.114,0.1103,0.1127
Ag,BLANCO,0.0056,,mg/L,0.0006,0.0008,0.0005,0.0007
Ag,BLANCO REACTIVO,0,,mg/L,0.0016,0.0017,0.0013,0.0016
Ag,SA000008-051,-0.1554,,mg/L,-0.0007,-0.0007,-0.0004,-0.0011
Ag,SA000008-052,1.3173,,mg/L,0.0061,0.0059,0.0059,0.0064
Ag,SA000008-053,2.3556,,mg/L,0.0109,0.0111,0.0109,0.0106
Ag,SA000008-054,4.6791,,mg/L,0.0216,0.0215,0.0213,0.0219
Ag,SA000008-055,2.9131,,mg/L,0.0134,0.0129,0.0127,0.0148
Ag,SA000008-056,2.2591,,mg/L,0.0104,0.0108,0.0101,0.0104
Ag,SA000008-057,6.0123,,mg/L,0.0277,0.028,0.0272,0.0278
Ag,SA000008-058,4.0414,,mg/L,0.0186,0.0191,0.018,0.0189
Ag,PATRON,0.9984,,mg/L,0.111,0.1118,0.1109,0.1103
Ag,BLANCO,-0.0051,,mg/L,-0.0006,-0.0003,-0.001,-0.0004
Ag,BLANCO REACTIVO,0,,mg/L,0.0011,0.0009,0.0009,0.0014
