Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.102
Comp. Cola Columna,Au 242.80,0.003
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.097
Celda # 11-A,Au 242.80,0.064
Celda # 11-B,Au 242.80,0.039
Celda # 11-C,Au 242.80,0.063
Celda # 6-F2,Au 242.80,0.358
Celda #5-9,Au 242.80,0.075
Celda #(F1+F2),Au 242.80,0.109
NE Tubo 1,Au 242.80,0.026
NE Tubo 2,Au 242.80,0.211
NE Tubo 4,Au 242.80,0.044
NE Tubo 5,Au 242.80,0.049
NE Tubo 6,Au 242.80,0.054
NE Tubo 7,Au 242.80,0.021
Puntual Noroeste,Au 242.80,0.077
Barren Patios,Au 242.80,0.018
Tubo 3,Au 242.80,0.057
Especial 1,Au 242.80,0.096
Especial 2,Au 242.80,0.100
Especial 3,Au 242.80,0.036
Especial 4,Au 242.80,0.034
Especial 5,Au 242.80,0.067
Barren 2,Au 242.80,0.017
