Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.131
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.013
Cabeza puntual retorno,Au 242.80,0.126
Columna #1,Au 242.80,0.079
Columna #2,Au 242.80,0.045
Columna #3,Au 242.80,0.025
Columna #4,Au 242.80,0.012
Columna #5,Au 242.80,0.004
Celda # 11-A,Au 242.80,0.029
Celda # 11-B,Au 242.80,0.013
Celda # 11-C,Au 242.80,0.004
Celda #5-9,Au 242.80,0.009
Celda #(F1+F2),Au 242.80,0.125
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.066
NE Tubo 4,Au 242.80,0.099
NE Tubo 5,Au 242.80,0.034
NE Tubo 6,Au 242.80,0.036
NE Tubo 7,Au 242.80,0.091
Puntual Noroeste,Au 242.80,0.131
Barren Patios,Au 242.80,-2
Tubo 3,Au 242.80,0.205
Especial 1,Au 242.80,0.033
Especial 2,Au 242.80,0.008
Especial 3,Au 242.80,0.056
Especial 4,Au 242.80,0.043
Especial 5,Au 242.80,0.014
