Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.549
Comp. Cola Columna,Cu 324.75,2.517
Barren,Cu 324.75,2.328
Cabeza puntual retorno,Cu 324.75,2.589
Celda # 11-A,Cu 324.75,0.462
Celda # 11-B,Cu 324.75,0.005
Celda # 11-C,Cu 324.75,0.004
Celda # 6-F2,Cu 324.75,0.038
Celda #5-9,Cu 324.75,2.909
Celda #(F1+F2),Cu 324.75,3.257
NE Tubo 1,Cu 324.75,0.044
NE Tubo 2,Cu 324.75,0.126
NE Tubo 4,Cu 324.75,2.488
NE Tubo 5,Cu 324.75,13.43
15,Cu 324.75,7.802
NE Tubo 7,Cu 324.75,1.199
Puntual Noroeste,Cu 324.75,3.398
Barren Patios,Cu 324.75,2.816
Tubo 3,Cu 324.75,2.527
Especial 1,Cu 324.75,0.246
Especial 2,Cu 324.75,0.028
Especial 3,Cu 324.75,1.297
Especial 4,Cu 324.75,4.2
Especial 5,Cu 324.75,0.226
Especial 6,Cu 324.75,0.002
