"Analyst",""
"Date Started","9/30/2024 2:23 AM  GMT: 9/30/2024 9:23 AM"
"Worksheet","EXP000098_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"9/30/2024","3:11:08 AM","REAGENT BLANK",0.0000,"","mg/L"
"9/30/2024","3:13:16 AM","BLANCO",-0.0574,"","mg/L"
"9/30/2024","3:13:36 AM","PATRON",0.8772,"","mg/L"
"9/30/2024","3:14:00 AM","EXP000098-001",0.1824,"","mg/L"
"9/30/2024","3:14:56 AM","EXP000098-005",0.0312,"","mg/L"
"9/30/2024","3:15:12 AM","EXP000098-006",-0.0126,"","mg/L"
"9/30/2024","3:15:42 AM","EXP000098-002",0.3282,"","mg/L"
"9/30/2024","3:15:52 AM","EXP000098-003",0.2968,"","mg/L"
"9/30/2024","3:16:00 AM","EXP000098-004","OVER","R","mg/L"
"9/30/2024","3:16:16 AM","PATRON",0.8814,"","mg/L"
"9/30/2024","3:16:30 AM","EXP000098-007",-0.0171,"","mg/L"
"9/30/2024","3:19:12 AM","EXP000098-008",0.1156,"","mg/L"
"9/30/2024","3:19:12 AM","PATRON","","","mg/L"

"Method: Au AU ALTO (Flame)"


"9/30/2024","3:22:24 AM","EXP000098-004",5.8042,"","mg/L"
"9/30/2024","3:22:26 AM","PATRON","","","mg/L"
