Analyst,Judas Orduño,,,,
Date Started,10/06/2023 3:45 AM  GMT: 10/6/2023 3:59 AM,,,,
Worksheet,LC000458_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,3:45:30 a.m.,PATRON,0.905,,mg/L
10/06/2023,3:46:00 a.m.,BLANCO,-0.026,,mg/L
10/06/2023,3:46:30 a.m.,REAGENT BLANK,-0.007,,mg/L
10/06/2023,3:47:00 a.m.,LC000458-001,0.0019,,mg/L
10/06/2023,3:47:30 a.m.,LC000458-002,0.0016,,mg/L
10/06/2023,3:48:00 a.m.,LC000458-003,0.0009,,mg/L
10/06/2023,3:48:30 a.m.,LC000458-004,0.0016,,mg/L
10/06/2023,3:49:00 a.m.,LC000458-005,0.0013,,mg/L
10/06/2023,3:49:30 a.m.,LC000458-006,0.0016,,mg/L
10/06/2023,3:50:00 a.m.,PATRON,0.91458,,mg/L
10/06/2023,3:50:30 a.m.,LC000458-007,0.0036,,mg/L
10/06/2023,3:51:00 a.m.,LC000458-008,0.0076,,mg/L
10/06/2023,3:51:30 a.m.,LC000458-009,0.0036,,mg/L
10/06/2023,3:52:00 a.m.,LC000458-010,0.0063,,mg/L
10/06/2023,3:52:30 a.m.,LC000458-011,0.0049,,mg/L
10/06/2023,3:53:00 a.m.,LC000458-012,0.2007,,mg/L
10/06/2023,3:53:30 a.m.,PATRON,0.8889,,mg/L
10/06/2023,3:54:00 a.m.,LC000458-013,0.0059,,mg/L
10/06/2023,3:54:30 a.m.,LC000458-014,0.0109,,mg/L
10/06/2023,3:55:00 a.m.,LC000458-015,0.0049,,mg/L
10/06/2023,3:55:30 a.m.,LC000458-016,0.0026,,mg/L
10/06/2023,3:56:00 a.m.,LC000458-017,0.0056,,mg/L
10/06/2023,3:56:30 a.m.,LC000458-018,0.0063,,mg/L
10/06/2023,3:57:00 a.m.,PATRON,0.8999,,mg/L
10/06/2023,3:57:30 a.m.,LC000458-019,0.0049,,mg/L
10/06/2023,3:58:00 a.m.,LC000458-020,0.0033,,mg/L
10/06/2023,3:58:30 a.m.,LC000458-021,0.0049,,mg/L
10/06/2023,3:59:00 a.m.,LC000458-022,0.0116,,mg/L
10/06/2023,3:59:30 a.m.,LC000458-023,0.0036,,mg/L
10/06/2023,3:59:55 a.m.,PATRON,0.886,,mg/L
