Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.553
Comp. Cola Columna,Cu 324.75,0.524
Barren,Cu 324.75,0.594
Cabeza puntual retorno,Cu 324.75,0.584
Celda # 11-A,Cu 324.75,0.168
Celda # 11-B,Cu 324.75,0.1
Celda # 11-C,Cu 324.75,0.132
Celda #5-9,Cu 324.75,0.885
Celda #(F1+F2),Cu 324.75,0.599
NE Tubo 1,Cu 324.75,0.077
NE Tubo 2,Cu 324.75,0.118
NE Tubo 4,Cu 324.75,0.174
NE Tubo 5,Cu 324.75,0.091
NE Tubo 6,Cu 324.75,0.114
NE Tubo 7,Cu 324.75,0.296
Puntual Noroeste,Cu 324.75,0.634
Barren Patios,Cu 324.75,0.634
Tubo 3,Cu 324.75,1.574
Especial 1,Cu 324.75,0.099
Especial 2,Cu 324.75,0.089
Especial 3,Cu 324.75,0.117
Especial 4,Cu 324.75,0.662
Especial 5,Cu 324.75,0.122
Especial 6,Cu 324.75,0.07
Columna #1,Cu 324.75,0.651
Columna #2,Cu 324.75,0.628
Columna #3,Cu 324.75,0.591
Columna #4,Cu 324.75,0.572
Columna #5,Cu 324.75,0.641
