"Analyst",""
"Date Started","10/3/2025 2:19 AM  GMT: 10/3/2025 9:19 AM"
"Worksheet","EXP000137"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"10/3/2025","3:10:00 AM","PATRON",0.8852,"","mg/L",0.3
"10/3/2025","3:10:14 AM","BLANCO",0.0016,"","mg/L",">100"
"10/3/2025","3:10:30 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"10/3/2025","3:10:52 AM","EXP000137-001",0.0131,"","mg/L",5.9
"10/3/2025","3:11:12 AM","EXP000137-002",0.0146,"","mg/L",7.7
"10/3/2025","3:11:26 AM","EXP000137-003",0.0036,"","mg/L",20.8
"10/3/2025","3:11:40 AM","EXP000137-004",0.0065,"","mg/L",17.7
"10/3/2025","3:11:54 AM","EXP000137-005",0.1188,"","mg/L",1.8
"10/3/2025","3:12:10 AM","PATRON",0.8785,"","mg/L",0.7
"10/3/2025","3:12:22 AM","BLANCO",0.0041,"","mg/L",38.7
"10/3/2025","3:12:34 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"10/3/2025","3:12:34 AM","EXP000135-008","","","mg/L",""

"Method: Au AU ALTO (Flame)"

