Analyst,,,,,
Date Started,9/14/2024 4:22 PM  GMT: 9/14/2024 11:22 PM,,,,
Worksheet,EXP000016_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/14/2024,4:27:10 PM,PATRON,0.8818,,mg/L
9/14/2024,4:27:30 PM,BLANCO,-0.0672,,mg/L
9/14/2024,4:28:00 PM,REAGENT BLANK,0,,mg/L
9/14/2024,4:28:30 PM,EXP00001-001,0.1632,,mg/L
9/14/2024,4:28:46 PM,EXP00001-002,0.2831,,mg/L
9/14/2024,4:29:04 PM,EXP00001-003,0.1107,,mg/L
9/14/2024,4:29:30 PM,EXP00001-004,0.117,,mg/L
9/14/2024,4:29:46 PM,EXP00001-005,0.0708,,mg/L
9/14/2024,4:30:02 PM,EXP00001-006,0.1012,,mg/L
9/14/2024,4:30:20 PM,PATRON,0.9095,,mg/L
9/14/2024,4:30:40 PM,EXP00001-007,0.1151,,mg/L
9/14/2024,4:30:52 PM,EXP00001-008,0.4044,,mg/L
9/14/2024,4:31:06 PM,EXP00001-009,0.2574,,mg/L
9/14/2024,4:31:20 PM,EXP00001-010,0.0018,,mg/L
9/14/2024,4:31:32 PM,EXP00001-011,0.1103,,mg/L
9/14/2024,4:31:46 PM,EXP00001-012,0.4065,,mg/L
9/14/2024,4:32:06 PM,PATRON,0.8777,,mg/L
9/14/2024,4:32:22 PM,EXP00001-013,0.2739,,mg/L
9/14/2024,4:32:38 PM,EXP00001-014,0.2214,,mg/L
9/14/2024,4:32:52 PM,EXP00001-015,0.0087,,mg/L
9/14/2024,4:33:06 PM,EXP00001-016,0.2036,,mg/L
9/14/2024,4:33:20 PM,EXP00001-017,0.4798,,mg/L
9/14/2024,4:33:36 PM,EXP00001-018,0.1912,,mg/L
9/14/2024,4:33:52 PM,PATRON,0.8895,,mg/L
9/14/2024,4:34:06 PM,EXP00001-019,OVER,R,mg/L
9/14/2024,4:34:20 PM,EXP00001-020,0.0595,,mg/L
9/14/2024,4:34:36 PM,EXP00001-021,0.105,,mg/L
9/14/2024,4:34:52 PM,EXP00001-022,0.1808,,mg/L
9/14/2024,4:35:06 PM,EXP00001-023,0.014,,mg/L
9/14/2024,4:35:38 PM,PATRON,0.9255,,mg/L
9/14/2024,4:36:04 PM,BLANCO,0.0167,,mg/L
9/14/2024,4:36:18 PM,REAGENT BLANK,0,,mg/L
9/14/2024,4:38:18 PM,EXP00001-024,0.1201,,mg/L
,,,,,
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
9/14/2024,5:22:36 PM,EXP00001-019,2.8279,,mg/L
,,,,,
