Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.302
Comp. Cola Columna,Ag 328.07,0.189
Barren,Ag 328.07,0.253
Cabeza puntual retorno,Ag 328.07,0.293
Celda # 11-A,Ag 328.07,0.015
Celda # 11-B,Ag 328.07,0.021
Celda # 11-C,Ag 328.07,0.028
Celda # 6-F2,Ag 328.07,0.115
Celda #5-9,Ag 328.07,0.021
Celda #(F1+F2),Ag 328.07,0.287
NE Tubo 1,Ag 328.07,0.224
NE Tubo 2,Ag 328.07,0.013
NE Tubo 4,Ag 328.07,0.071
NE Tubo 5,Ag 328.07,0.011
NE Tubo 6,Ag 328.07,0.008
NE Tubo 7,Ag 328.07,1.044
Puntual Noroeste,Ag 328.07,0.34
Barren Patios,Ag 328.07,0.261
Tubo 3,Ag 328.07,0.516
Especial 1,Ag 328.07,0.021
Especial 2,Ag 328.07,0.025
Especial 3,Ag 328.07,0.019
Especial 4,Ag 328.07,0.011
Especial 5,Ag 328.07,0.367
