Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.096
Cabeza puntual retorno,Au 242.80,0.098
Celda #(F1+F2),Au 242.80,0.095
Puntual Noroeste,Au 242.80,0.096
Tubo 3,Au 242.80,0.14
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.017
Celda # 11-A,Au 242.80,0.079
Celda # 11-B,Au 242.80,0.043
Celda # 11-C,Au 242.80,0.054
Celda #5-9,Au 242.80,0.052
NE Tubo 1,Au 242.80,0.01
NE Tubo 2,Au 242.80,0.054
NE Tubo 4,Au 242.80,0.057
NE Tubo 5,Au 242.80,0.019
NE Tubo 6,Au 242.80,0.024
NE Tubo 7,Au 242.80,0.084
Barren Patios,Au 242.80,0.013
Especial 1,Au 242.80,0.118
Especial 2,Au 242.80,0.041
Especial 3,Au 242.80,0.006
Especial 4,Au 242.80,0.009
Especial 5,Au 242.80,0.04
Columna #1,Au 242.80,0.067
Columna #2,Au 242.80,0.048
Columna #4,Au 242.80,0.019
Columna #5,Au 242.80,0.015
