Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,4.538
Comp. Cola Columna,Cu 324.75,4.457
Barren,Cu 324.75,4.496
Cabeza puntual retorno,Cu 324.75,4.473
Celda # 11-A,Cu 324.75,1.192
Celda # 11-B,Cu 324.75,0.258
Celda # 11-C,Cu 324.75,1.949
Celda #5-9,Cu 324.75,2.068
Celda #(F1+F2),Cu 324.75,5.08
NE Tubo 1,Cu 324.75,0.047
NE Tubo 2,Cu 324.75,0.057
NE Tubo 4,Cu 324.75,0.992
NE Tubo 5,Cu 324.75,9.481
NE Tubo 6,Cu 324.75,3.155
NE Tubo 7,Cu 324.75,14.88
Puntual Noroeste,Cu 324.75,5.051
Tubo 3,Cu 324.75,4.778
Especial 1,Cu 324.75,0.1
Especial 2,Cu 324.75,0.01
Especial 3,Cu 324.75,0.229
Especial 4,Cu 324.75,1.27
Especial 5,Cu 324.75,0.815
Especial 6,Cu 324.75,2.127
Columna #1,Cu 324.75,4.795
Columna #2,Cu 324.75,4.805
Columna #3,Cu 324.75,4.89
Columna #4,Cu 324.75,5.128
Columna #5,Cu 324.75,5.218
