Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,1.594
Columna #2,Cu 324.75,1.361
Columna #3,Cu 324.75,1.225
Columna #4,Cu 324.75,1.033
Columna #5,Cu 324.75,0.935
Comp. Cabeza Columna,Cu 324.75,1.789
Comp. Cola Columna,Cu 324.75,1.085
Barren,Cu 324.75,1.342
Cabeza puntual retorno,Cu 324.75,1.855
Celda # 11-A,Cu 324.75,7.411
Celda # 11-B,Cu 324.75,1.355
Celda # 11-C,Cu 324.75,0.818
Celda #5-9,Cu 324.75,1.489
Celda #(F1+F2),Cu 324.75,1.731
NE Tubo 1,Cu 324.75,0.229
NE Tubo 2,Cu 324.75,2.954
NE Tubo 4,Cu 324.75,3.045
NE Tubo 5,Cu 324.75,1.560
NE Tubo 6,Cu 324.75,0.757
NE Tubo 7,Cu 324.75,0.879
Puntual Noroeste,Cu 324.75,1.667
Barren Patios,Cu 324.75,1.100
Tubo 3,Cu 324.75,0.452
Especial 1,Cu 324.75,0.455
Especial 2,Cu 324.75,0.241
Especial 3,Cu 324.75,0.375
Especial 4,Cu 324.75,0.594
Especial 5,Cu 324.75,3.603
